season,team_name,team_abbr,playoff_games,po_ft_rate,season_label,reg_ft_rate,reg_ft_rate_allowed,po_ft_rate_allowed,ft_rate_change,ft_rate_allowed_change,net_ft_rate_swing
2014,Oklahoma City Thunder,OKC,19,0.32664941785252266,2013-14,0.3025656148628723,0.3040046769950307,0.2824519230769231,0.02408380298965035,-0.021552753918107626,0.045636556907757975
2014,Portland Trail Blazers,POR,11,0.28082901554404144,2013-14,0.26997476871320436,0.252950159655699,0.2799597180261833,0.010854246830837078,0.0270095583704843,-0.01615531153964722
2014,San Antonio Spurs,SAS,23,0.2907039226222461,2013-14,0.23991817650496786,0.24240252293577982,0.2566137566137566,0.050785746117278235,0.014211233677976803,0.03657451243930143
2014,Toronto Raptors,TOR,7,0.3911368015414258,2013-14,0.3058946114915153,0.31507682945382626,0.3923809523809524,0.08524219004991052,0.07730412292712613,0.007938067122784387
2014,Washington Wizards,WAS,11,0.28506271379703535,2013-14,0.24783236994219654,0.2882991556091677,0.30760095011876487,0.03723034385483881,0.01930179450959718,0.01792854934524163
2015,Atlanta Hawks,ATL,16,0.22717311906501095,2014-15,0.2589938796835349,0.24225972120322817,0.2595588235294118,-0.03182076061852393,0.01729910232618362,-0.04911986294470755
2015,Boston Celtics,BOS,4,0.3081570996978852,2014-15,0.23270004160310637,0.27495319026357484,0.39375,0.07545705809477882,0.11879680973642515,-0.04333975164164633
2015,Brooklyn Nets,BRK,6,0.250501002004008,2014-15,0.2670487948265726,0.25285693620714594,0.20689655172413793,-0.016547792822564633,-0.045960384483008015,0.029412591660443382
2015,Chicago Bulls,CHI,12,0.25671641791044775,2014-15,0.30410475209651316,0.2423688282458855,0.25892857142857145,-0.04738833418606542,0.016559743182685965,-0.06394807736875138
2015,Cleveland Cavaliers,CLE,20,0.3252720677146312,2014-15,0.2869861997328981,0.2378102189781022,0.2749699157641396,0.03828586798173311,0.037159696786037394,0.0011261711956957188
2015,Dallas Mavericks,DAL,5,0.27391304347826084,2014-15,0.26193860147811254,0.2711399711399711,0.4289044289044289,0.0119744420001483,0.1577644577644578,-0.1457900157643095
2015,Golden State Warriors,GSW,21,0.26286037309214244,2014-15,0.23945635421045258,0.28387916431394694,0.3129640205596802,0.02340401888168986,0.02908485624573326,-0.005680837364043401
2015,Houston Rockets,HOU,17,0.44036697247706424,2014-15,0.3122072599531616,0.2766719175139625,0.2980263157894737,0.12815971252390262,0.02135439827551122,0.1068053142483914
2015,Los Angeles Clippers,LAC,14,0.36141533277169335,2014-15,0.3026354319180088,0.31208302446256486,0.383248730964467,0.058779900853684564,0.07116570650190213,-0.012385805648217563
2015,Memphis Grizzlies,MEM,11,0.2702702702702703,2014-15,0.2763566464586722,0.24700777977259125,0.24745762711864408,-0.00608637618840191,0.0004498473460528285,-0.006536223534454738
2015,Milwaukee Bucks,MIL,6,0.23629489603024575,2014-15,0.2579589407914311,0.2983086364316719,0.2754491017964072,-0.021664044761185358,-0.02285953463526469,0.0011954898740793307
2015,New Orleans Pelicans,NOP,4,0.26409495548961426,2014-15,0.2634289919058131,0.2569709421778691,0.3028571428571429,0.0006659635838011657,0.04588620067927379,-0.045220237095472626
2015,Portland Trail Blazers,POR,5,0.2583732057416268,2014-15,0.22542204568023833,0.24048855819177312,0.2988235294117647,0.032951160061388485,0.058334971219991594,-0.02538381115860311
2015,San Antonio Spurs,SAS,7,0.2981574539363484,2014-15,0.25590895827254156,0.25564786474274886,0.3459552495697074,0.04224849566380684,0.09030738482695855,-0.04805888916315171
2015,Toronto Raptors,TOR,4,0.24079320113314448,2014-15,0.2949187289500659,0.2833357890083984,0.3475609756097561,-0.0541255278169214,0.06422518660135768,-0.11835071441827907
2015,Washington Wizards,WAS,10,0.2804733727810651,2014-15,0.25891016200294553,0.28375219170075977,0.23191733639494833,0.021563210778119568,-0.051834855305811445,0.07339806608393101
2016,Atlanta Hawks,ATL,10,0.2417452830188679,2015-16,0.23660262891809908,0.2564465854349674,0.23863636363636365,0.005142654100768834,-0.017810221798603754,0.022952875899372588
2016,Boston Celtics,BOS,6,0.2346368715083799,2015-16,0.26359661109592786,0.30632439409149576,0.2447418738049713,-0.028959739587547967,-0.061582520286524445,0.03262278069897648
2016,Charlotte Hornets,CHO,7,0.30905861456483125,2015-16,0.2804102860444958,0.24888825132692582,0.2530755711775044,0.028648328520335442,0.004187319850578575,0.024461008669756867
2016,Cleveland Cavaliers,CLE,21,0.2667443214909726,2015-16,0.25885598141695704,0.27538598574821854,0.2585278276481149,0.007888340074015565,-0.01685815810010366,0.024746498174119225
2016,Dallas Mavericks,DAL,5,0.29802955665024633,2015-16,0.2653623188405797,0.2686845502797303,0.35507246376811596,0.03266723780966663,0.08638791348838565,-0.05372067567871902
2016,Detroit Pistons,DET,4,0.292358803986711,2015-16,0.29561168336390575,0.25003621613791105,0.20059880239520958,-0.0032528793771947617,-0.04943741374270147,0.04618453436550671
2016,Golden State Warriors,GSW,24,0.27201946472019467,2015-16,0.2500349210783629,0.27462482946794,0.31064237775647174,0.021984543641831777,0.036017548288531764,-0.014033004646699987
2016,Houston Rockets,HOU,5,0.32009345794392524,2015-16,0.35154082079742954,0.2892360613444174,0.2985781990521327,-0.0314473628535043,0.009342137707715303,-0.040789500561219605
2016,Indiana Pacers,IND,7,0.3187022900763359,2015-16,0.26800286327845385,0.2730537201953462,0.3223570190641248,0.05069942679788203,0.0493032988687786,0.00139612792910343
2016,Los Angeles Clippers,LAC,6,0.34509803921568627,2015-16,0.3183902944222518,0.2958537287647567,0.26640926640926643,0.026707744793434463,-0.029444462355490253,0.056152207148924715
2016,Memphis Grizzlies,MEM,4,0.2153846153846154,2015-16,0.29508674733926227,0.32621148784641585,0.2983606557377049,-0.07970213195464687,-0.02785083210871092,-0.05185129984593595
2016,Miami Heat,MIA,14,0.26441881100266196,2015-16,0.28206659698372405,0.2547006074631183,0.31037489102005233,-0.017647785981062092,0.055674283556934046,-0.07332206953799614
2016,Oklahoma City Thunder,OKC,18,0.32610124917817224,2015-16,0.29186670432081335,0.2711345939933259,0.26109660574412535,0.034234544857358884,-0.010037988249200547,0.04427253310655943
2016,Portland Trail Blazers,POR,11,0.286734693877551,2015-16,0.2683238636363636,0.30655147588192944,0.31178310740354537,0.018410830241187393,0.0052316315216159315,0.013179198719571461
2016,San Antonio Spurs,SAS,10,0.24848484848484848,2015-16,0.24599087832867442,0.24012520494857653,0.26814268142681424,0.002493970156174058,0.028017476478237713,-0.025523506322063655
